"week_cont.f","area","sum_dengue","sum_people"
"1","Control",1739,2273667
"1","Intervention",54,58431
"1","Buffer",74,68398
"2","Control",2192,2273667
"2","Intervention",79,58431
"2","Buffer",100,68398
"3","Control",2671,2273667
"3","Intervention",85,58431
"3","Buffer",128,68398
"4","Control",3857,2273667
"4","Intervention",93,58431
"4","Buffer",123,68398
"5","Control",5516,2273667
"5","Intervention",185,58431
"5","Buffer",190,68398
"6","Control",6509,2273667
"6","Intervention",164,58431
"6","Buffer",171,68398
"7","Control",9956,2273667
"7","Intervention",286,58431
"7","Buffer",220,68398
"8","Control",12443,2273667
"8","Intervention",324,58431
"8","Buffer",262,68398
"9","Control",10720,2273667
"9","Intervention",290,58431
"9","Buffer",280,68398
"10","Control",11278,2273667
"10","Intervention",300,58431
"10","Buffer",254,68398
"11","Control",11270,2273667
"11","Intervention",318,58431
"11","Buffer",255,68398
"12","Control",8551,2273667
"12","Intervention",223,58431
"12","Buffer",190,68398
"13","Control",9824,2273667
"13","Intervention",330,58431
"13","Buffer",198,68398
"14","Control",10685,2273667
"14","Intervention",281,58431
"14","Buffer",198,68398
"15","Control",8679,2273667
"15","Intervention",245,58431
"15","Buffer",168,68398
"16","Control",7066,2273667
"16","Intervention",192,58431
"16","Buffer",179,68398
"17","Control",6301,2273667
"17","Intervention",188,58431
"17","Buffer",152,68398
"18","Control",4775,2273667
"18","Intervention",154,58431
"18","Buffer",134,68398
"19","Control",2780,2273667
"19","Intervention",91,58431
"19","Buffer",63,68398
"20","Control",1837,2273667
"20","Intervention",37,58431
"20","Buffer",48,68398
"21","Control",992,2273667
"21","Intervention",41,58431
"21","Buffer",23,68398
"22","Control",687,2273667
"22","Intervention",29,58431
"22","Buffer",27,68398
"23","Control",443,2273667
"23","Intervention",21,58431
"23","Buffer",20,68398
"24","Control",306,2273667
"24","Intervention",12,58431
"24","Buffer",10,68398
"25","Control",168,2273667
"25","Intervention",5,58431
"25","Buffer",6,68398
"159","Control",72,2373372
"159","Intervention",1,60993
"159","Buffer",2,71397
"160","Control",78,2373372
"160","Intervention",2,60993
"160","Buffer",5,71397
"161","Control",128,2373372
"161","Intervention",6,60993
"161","Buffer",0,71397
"162","Control",211,2373372
"162","Intervention",2,60993
"162","Buffer",3,71397
"163","Control",310,2373372
"163","Intervention",7,60993
"163","Buffer",12,71397
"164","Control",436,2373372
"164","Intervention",5,60993
"164","Buffer",9,71397
"165","Control",613,2373372
"165","Intervention",5,60993
"165","Buffer",12,71397
"166","Control",933,2373372
"166","Intervention",14,60993
"166","Buffer",13,71397
"167","Control",1667,2373372
"167","Intervention",31,60993
"167","Buffer",41,71397
"168","Control",2680,2373372
"168","Intervention",35,60993
"168","Buffer",40,71397
"169","Control",3886,2373372
"169","Intervention",74,60993
"169","Buffer",75,71397
"170","Control",5224,2373372
"170","Intervention",87,60993
"170","Buffer",93,71397
"171","Control",6741,2373372
"171","Intervention",118,60993
"171","Buffer",137,71397
"172","Control",8197,2373372
"172","Intervention",147,60993
"172","Buffer",169,71397
"173","Control",11027,2373372
"173","Intervention",196,60993
"173","Buffer",214,71397
"174","Control",11482,2373372
"174","Intervention",243,60993
"174","Buffer",236,71397
"175","Control",12164,2373372
"175","Intervention",238,60993
"175","Buffer",267,71397
"176","Control",10739,2373372
"176","Intervention",222,60993
"176","Buffer",218,71397
"177","Control",9722,2373372
"177","Intervention",195,60993
"177","Buffer",206,71397
"178","Control",8097,2373372
"178","Intervention",175,60993
"178","Buffer",168,71397
"179","Control",5372,2373372
"179","Intervention",127,60993
"179","Buffer",103,71397
"180","Control",3362,2373372
"180","Intervention",78,60993
"180","Buffer",73,71397
"181","Control",2001,2373372
"181","Intervention",37,60993
"181","Buffer",46,71397
"182","Control",1605,2373372
"182","Intervention",48,60993
"182","Buffer",40,71397
"183","Control",876,2373372
"183","Intervention",31,60993
"183","Buffer",25,71397
"184","Control",439,2373372
"184","Intervention",12,60993
"184","Buffer",9,71397
"185","Control",196,2373372
"185","Intervention",10,60993
"185","Buffer",5,71397
"186","Control",124,2373372
"186","Intervention",3,60993
"186","Buffer",2,71397
"187","Control",84,2373372
"187","Intervention",2,60993
"187","Buffer",1,71397
"188","Control",59,2373372
"188","Intervention",1,60993
"188","Buffer",0,71397
"189","Control",29,2373372
"189","Intervention",1,60993
"189","Buffer",1,71397
"190","Control",37,2373372
"190","Intervention",0,60993
"190","Buffer",0,71397
